,"Lifeline,MHART,Pet Loss,REDLINE,Referral Line,",,,,,,,,,
,SAMHSA,,,,,,,,,
Start Date:,1/1/2022,,,,,,,,,
End Date:,4/30/2022,,,,,,,,,
Hour range:,00:00 - 23:59,,,,,,,,,
Period:,120 days,,,,,,,,,
,,,,,,,,,,
Total Calls,,,,,,,,,,
Number of Received Calls,17265 calls,,,,,,,,,
Number of Answered Calls,13201 calls,,,,,,,,,
Number of Abandoned Unanswered Call,2749 calls,,,,,,,,,
Number of Other Unanswered Calls,1097 calls,,,,,,,,,
Number of Transferred Calls,218 calls,,,,,,,,,
Unanswered Rate,6.35%,,,,,,,,,
Abandon Rate,15.92%,,,,,,,,,
Agent Login,14498,,,,,,,,,
Agent Logoff,14514,,,,,,,,,
,,,,,,,,,,
Queue,Received,Answered,Unanswered,Transfers,% Answ,% Unansw,Avg Durat.,Avg Wait,,
Community Response,2,2,0,0,100,0,0:06:19,0:00:10,,
Crisis Eng,10356,8273,2049,34,79.81,19.69,0:11:10,0:01:02,,
Crisis Eng PRIORITY,907,677,213,17,76.52,23.48,0:09:05,0:01:11,,
Crisis Spanish,65,49,15,1,76.92,23.08,0:07:19,0:00:59,,
Crisis Spanish PRIORITY,13,8,5,0,61.54,38.46,0:07:49,0:01:10,,
Lifeline,1851,1353,447,51,75.85,24.15,0:11:44,0:00:48,,
MHART,7,7,0,0,100,0,0:00:38,0:00:10,,
REDLINE,3651,2491,1052,108,71.19,28.81,0:04:45,0:00:23,,
Referral Line,410,341,62,7,84.88,15.12,0:04:42,0:00:18,,
SAMHSA,3,0,3,0,0,100,0:00:00,0:00:15,,
,,,,,,,,,,
go up   Call Distribution per month,,,,,,,,,,
  space,,,,,,,,,,
Month,Received,Answered,Unanswered,Transfers,% Answ,% Unansw,Avg Durat.,Avg Wait,Logins,Logoff
2022-01,5090,3696,1329,65,73.89%,26.11%,0:09:38,0:00:58,3408,3426
2022-02 (2022-02),4127,3236,840,51,79.65%,20.35%,0:09:12,0:00:49,3568,3559
2022-03 (2022-03),4034,3080,898,56,77.74%,22.26%,0:10:07,0:00:53,3688,3704
2022-04,4014,3189,779,46,80.59%,19.41%,0:09:49,0:00:46,3834,3825
,,,,,,,,,,
go up   Call Distribution per hour,,,,,,,,,,
  space,,,,,,,,,,
Hour,Received,Answered,Unanswered,Transfers,% Answ,% Unansw,Avg Durat.,Avg Wait,Logins,Logoff
