Report Info,,,,,,,,,,
Queue:,"AWARE,Community Response,Crisis Eng,Crisis Eng PRIORITY,",,,,,,,,,
,"Crisis Spanish,Crisis Spanish PRIORITY,",,,,,,,,,
,"Lifeline,MHART,Pet Loss,REDLINE,Referral Line,",,,,,,,,,
,SAMHSA,,,,,,,,,
Start Date:,1/1/2021,,,,,,,,,
End Date:,12/31/2021,,,,,,,,,
Hour range:,00:00 - 23:59,,,,,,,,,
Period:,365 days,,,,,,,,,
,,,,,,,,,,
Total Calls,,,,,,,,,,
Number of Received Calls,53975 calls,,,,,,,,,
Number of Answered Calls,37036 calls,,,,,,,,,
Number of Abandoned Unanswered Call,10841 calls,,,,,,,,,
Number of Other Unanswered Calls,5215 calls,,,,,,,,,
Number of Transferred Calls,883 calls,,,,,,,,,
Unanswered Rate,9.66%,,,,,,,,,
Abandon Rate,20.09%,,,,,,,,,
Agent Login,37571,,,,,,,,,
Agent Logoff,37534,,,,,,,,,
,,,,,,,,,,
go up   Call Distribution per queue,,,,,,,,,,
  space,,,,,,,,,,
Queue,Received,Answered,Unanswered,Transfers,% Answ,% Unansw,Avg Durat.,Avg Wait,,
Community Response,35,21,13,1,61.11%,36.11%,0:04:21,0:00:32,,
Crisis Eng,28017,20723,7152,142,73.90%,25.33%,0:11:20,0:01:25,,
Crisis Eng PRIORITY,4254,2864,1331,59,68.71%,31.29%,0:07:01,0:01:17,,
Crisis Spanish,248,213,28,7,87.65%,11.16%,0:07:23,0:00:55,,
Crisis Spanish PRIORITY,36,27,8,1,77.78%,22.22%,0:10:14,0:01:02,,
Lifeline,6223,4021,2009,193,67.72%,32.28%,0:11:25,0:01:00,,
MHART,497,328,165,4,66.80%,33.20%,0:07:06,0:00:24,,
REDLINE,13516,8068,4977,471,63.18%,36.82%,0:04:28,0:00:27,,
Referral Line,951,728,218,5,77.08%,22.92%,0:03:50,0:00:23,,
SAMHSA,198,43,155,0,21.72%,78.28%,0:10:48,0:00:14,,
Total,53975,37036,16056,883,70.25%,29.75%,,,,
,,,,,,,,,,
go up   Call Distribution per month,,,,,,,,,,
  space,,,,,,,,,,
Month,Received,Answered,Unanswered,Transfers,% Answ,% Unansw,Avg Durat.,Avg Wait,Logins,Logoff
2021-01,4743,3094,1556,93,67.19%,32.81%,0:08:25,0:01:02,2485,2469
2021-02 (2021-02),4627,3103,1458,66,68.49%,31.51%,0:08:05,0:01:02,2853,2850
2021-03 (2021-03),4700,3305,1322,73,71.87%,28.13%,0:08:59,0:01:08,3420,3414
2021-04 (2021-04),4450,3175,1236,39,72.22%,27.78%,0:08:41,0:01:04,3103,3091
2021-05 (2021-05),4472,2996,1390,86,68.92%,31.08%,0:09:17,0:01:08,2680,2680
2021-06 (2021-06),4349,3065,1198,86,72.45%,27.55%,0:09:11,0:01:09,3258,3249
2021-07 (2021-07),4591,3029,1475,87,67.87%,32.13%,0:09:18,0:01:15,2751,2778
2021-08 (2021-08),4314,3028,1200,86,72.18%,27.82%,0:09:40,0:01:04,2939,2921
2021-09 (2021-09),4667,3296,1304,67,72.06%,27.94%,0:09:05,0:01:00,3431,3439
2021-10 (2021-10),4293,2878,1360,55,68.32%,31.68%,0:10:12,0:01:10,3250,3259
2021-11 (2021-11),3988,2732,1193,63,70.09%,29.91%,0:10:26,0:01:01,3672,3656
2021-12,4781,3335,1364,82,71.47%,28.53%,0:09:59,0:01:01,3729,3728
,,,,,,,,,,
go up   Call Distribution per hour,,,,,,,,,,
  space,,,,,,,,,,
Hour,Received,Answered,Unanswered,Transfers,% Answ,% Unansw,Avg Durat.,Avg Wait,Logins,Logoff
00:00 - 00:59,1709,1020,670,19,60.80%,39.20%,0:09:27,0:01:40,226,253
01:00 - 01:59,1409,832,570,7,59.55%,40.45%,0:09:29,0:01:40,424,471
02:00 - 02:59,1139,592,533,14,53.20%,46.80%,0:09:24,0:01:52,409,1574
03:00 - 03:59,943,544,385,14,59.17%,40.83%,0:11:00,0:01:49,125,179
04:00 - 04:59,853,509,334,10,60.84%,39.16%,0:09:52,0:02:02,160,179
05:00 - 05:59,1059,697,357,5,66.29%,33.71%,0:09:47,0:01:33,1897,283
